code,title,Level
459930,Manufactured (Mobile) Home Dealers,6
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",6
459999,All Other Miscellaneous Retailers,6
481111,Scheduled Passenger Air Transportation,6
481112,Scheduled Freight Air Transportation,6
481211,Nonscheduled Chartered Passenger Air Transportation,6
481212,Nonscheduled Chartered Freight Air Transportation,6
481219,Other Nonscheduled Air Transportation,6
482111,Line-Haul Railroads,6
482112,Short Line Railroads,6
483111,Deep Sea Freight Transportation,6
483112,Deep Sea Passenger Transportation,6
483113,Coastal and Great Lakes Freight Transportation,6
483114,Coastal and Great Lakes Passenger Transportation,6
483211,Inland Water Freight Transportation,6
483212,Inland Water Passenger Transportation,6
484110,"General Freight Trucking, Local",6
484121,"General Freight Trucking, Long-Distance, Truckload",6
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",6
484210,Used Household and Office Goods Moving,6
484220,"Specialized Freight (except Used Goods) Trucking, Local",6
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",6
485111,Mixed Mode Transit Systems,6
485112,Commuter Rail Systems,6
485113,Bus and Other Motor Vehicle Transit Systems,6
485119,Other Urban Transit Systems,6
485210,Interurban and Rural Bus Transportation,6
485310,Taxi and Ridesharing Services,6
485320,Limousine Service,6
485410,School and Employee Bus Transportation,6
485510,Charter Bus Industry,6
485991,Special Needs Transportation,6
485999,All Other Transit and Ground Passenger Transportation,6
486110,Pipeline Transportation of Crude Oil,6
486210,Pipeline Transportation of Natural Gas,6
486910,Pipeline Transportation of Refined Petroleum Products,6
486990,All Other Pipeline Transportation,6
487110,"Scenic and Sightseeing Transportation, Land",6
487210,"Scenic and Sightseeing Transportation, Water",6
487990,"Scenic and Sightseeing Transportation, Other",6
488111,Air Traffic Control,6
488119,Other Airport Operations,6
488190,Other Support Activities for Air Transportation,6
488210,Support Activities for Rail Transportation,6
488310,Port and Harbor Operations,6
488320,Marine Cargo Handling,6
488330,Navigational Services to Shipping,6
488390,Other Support Activities for Water Transportation,6
488410,Motor Vehicle Towing,6
488490,Other Support Activities for Road Transportation,6
488510,Freight Transportation Arrangement,6
488991,Packing and Crating,6
488999,All Other Support Activities for Transportation,6
491110,Postal Service,6
492110,Couriers and Express Delivery Services,6
492210,Local Messengers and Local Delivery,6
493110,General Warehousing and Storage,6
493120,Refrigerated Warehousing and Storage,6
493130,Farm Product Warehousing and Storage,6
493190,Other Warehousing and Storage,6
512110,Motion Picture and Video Production,6
512120,Motion Picture and Video Distribution,6
512131,Motion Picture Theaters (except Drive-Ins),6
512132,Drive-In Motion Picture Theaters,6
512191,Teleproduction and Other Postproduction Services,6
512199,Other Motion Picture and Video Industries,6
512230,Music Publishers,6
512240,Sound Recording Studios,6
512250,Record Production and Distribution,6
512290,Other Sound Recording Industries,6
513110,Newspaper Publishers,6
513120,Periodical Publishers,6
513130,Book Publishers,6
513140,Directory and Mailing List Publishers,6
513191,Greeting Card Publishers,6
513199,All Other Publishers,6
513210,Software Publishers,6
516110,Radio Broadcasting Stations,6
516120,Television Broadcasting Stations,6
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",6
517111,Wired Telecommunications Carriers,6
517112,Wireless Telecommunications Carriers (except Satellite),6
517121,Telecommunications Resellers,6
517122,Agents for Wireless Telecommunications Services,6
517410,Satellite Telecommunications,6
517810,All Other Telecommunications,6
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",6
519210,Libraries and Archives,6
519290,Web Search Portals and All Other Information Services,6
521110,Monetary Authorities-Central Bank,6
522110,Commercial Banking,6
522130,Credit Unions,6
522180,Savings Institutions and Other Depository Credit Intermediation,6
522210,Credit Card Issuing,6
522220,Sales Financing,6
522291,Consumer Lending,6
522292,Real Estate Credit,6
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",6
522310,Mortgage and Nonmortgage Loan Brokers,6
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",6
522390,Other Activities Related to Credit Intermediation,6
523150,Investment Banking and Securities Intermediation,6
523160,Commodity Contracts Intermediation,6
523210,Securities and Commodity Exchanges,6
523910,Miscellaneous Intermediation,6
523940,Portfolio Management and Investment Advice,6
523991,"Trust, Fiduciary, and Custody Activities",6
523999,Miscellaneous Financial Investment Activities,6
524113,Direct Life Insurance Carriers,6
524114,Direct Health and Medical Insurance Carriers,6
524126,Direct Property and Casualty Insurance Carriers,6
524127,Direct Title Insurance Carriers,6
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",6
524130,Reinsurance Carriers,6
524210,Insurance Agencies and Brokerages,6
524291,Claims Adjusting,6
524292,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,6
524298,All Other Insurance Related Activities,6
525110,Pension Funds,6
525120,Health and Welfare Funds,6
525190,Other Insurance Funds,6
525910,Open-End Investment Funds,6
525920,"Trusts, Estates, and Agency Accounts",6
525990,Other Financial Vehicles,6
531110,Lessors of Residential Buildings and Dwellings,6
531120,Lessors of Nonresidential Buildings (except Miniwarehouses),6
531130,Lessors of Miniwarehouses and Self-Storage Units,6
531190,Lessors of Other Real Estate Property,6
531210,Offices of Real Estate Agents and Brokers,6
531311,Residential Property Managers,6
531312,Nonresidential Property Managers,6
531320,Offices of Real Estate Appraisers,6
531390,Other Activities Related to Real Estate,6
532111,Passenger Car Rental,6
532112,Passenger Car Leasing,6
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",6
532210,Consumer Electronics and Appliances Rental,6
532281,Formal Wear and Costume Rental,6
532282,Video Tape and Disc Rental,6
532283,Home Health Equipment Rental,6
532284,Recreational Goods Rental,6
532289,All Other Consumer Goods Rental,6
532310,General Rental Centers,6
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",6
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",6
532420,Office Machinery and Equipment Rental and Leasing,6
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,6
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),6
541110,Offices of Lawyers,6
541120,Offices of Notaries,6
541191,Title Abstract and Settlement Offices,6
541199,All Other Legal Services,6
541211,Offices of Certified Public Accountants,6
541213,Tax Preparation Services,6
541214,Payroll Services,6
541219,Other Accounting Services,6
541310,Architectural Services,6
541320,Landscape Architectural Services,6
541330,Engineering Services,6
541340,Drafting Services,6
541350,Building Inspection Services,6
541360,Geophysical Surveying and Mapping Services,6
541370,Surveying and Mapping (except Geophysical) Services,6
541380,Testing Laboratories and Services,6
541410,Interior Design Services,6
541420,Industrial Design Services,6
541430,Graphic Design Services,6
541490,Other Specialized Design Services,6
541511,Custom Computer Programming Services,6
541512,Computer Systems Design Services,6
541513,Computer Facilities Management Services,6
541519,Other Computer Related Services,6
541611,Administrative Management and General Management Consulting Services,6
541612,Human Resources Consulting Services,6
541613,Marketing Consulting Services,6
541614,"Process, Physical Distribution, and Logistics Consulting Services",6
541618,Other Management Consulting Services,6
541620,Environmental Consulting Services,6
541690,Other Scientific and Technical Consulting Services,6
541713,Research and Development in Nanotechnology,6
541714,Research and Development in Biotechnology (except Nanobiotechnology),6
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",6
541720,Research and Development in the Social Sciences and Humanities,6
541810,Advertising Agencies,6
541820,Public Relations Agencies,6
541830,Media Buying Agencies,6
541840,Media Representatives,6
541850,Indoor and Outdoor Display Advertising,6
541860,Direct Mail Advertising,6
541870,Advertising Material Distribution Services,6
541890,Other Services Related to Advertising,6
541910,Marketing Research and Public Opinion Polling,6
541921,"Photography Studios, Portrait",6
541922,Commercial Photography,6
541930,Translation and Interpretation Services,6
541940,Veterinary Services,6
541990,"All Other Professional, Scientific, and Technical Services",6
551111,Offices of Bank Holding Companies,6
551112,Offices of Other Holding Companies,6
551114,"Corporate, Subsidiary, and Regional Managing Offices",6
561110,Office Administrative Services,6
561210,Facilities Support Services,6
561311,Employment Placement Agencies,6
561312,Executive Search Services,6
561320,Temporary Help Services,6
561330,Professional Employer Organizations,6
561410,Document Preparation Services,6
561421,Telephone Answering Services,6
561422,Telemarketing Bureaus and Other Contact Centers,6
561431,Private Mail Centers,6
561439,Other Business Service Centers (including Copy Shops),6
561440,Collection Agencies,6
561450,Credit Bureaus,6
561491,Repossession Services,6
561492,Court Reporting and Stenotype Services,6
561499,All Other Business Support Services,6
561510,Travel Agencies,6
561520,Tour Operators,6
561591,Convention and Visitors Bureaus,6
561599,All Other Travel Arrangement and Reservation Services,6
561611,Investigation and Personal Background Check Services,6
561612,Security Guards and Patrol Services,6
561613,Armored Car Services,6
561621,Security Systems Services (except Locksmiths),6
561622,Locksmiths,6
561710,Exterminating and Pest Control Services,6
561720,Janitorial Services,6
561730,Landscaping Services,6
561740,Carpet and Upholstery Cleaning Services,6
561790,Other Services to Buildings and Dwellings,6
561910,Packaging and Labeling Services,6
561920,Convention and Trade Show Organizers,6
561990,All Other Support Services,6
562111,Solid Waste Collection,6
562112,Hazardous Waste Collection,6
562119,Other Waste Collection,6
562211,Hazardous Waste Treatment and Disposal,6
562212,Solid Waste Landfill,6
562213,Solid Waste Combustors and Incinerators,6
562219,Other Nonhazardous Waste Treatment and Disposal,6
562910,Remediation Services,6
562920,Materials Recovery Facilities,6
562991,Septic Tank and Related Services,6
562998,All Other Miscellaneous Waste Management Services,6
611110,Elementary and Secondary Schools,6
611210,Junior Colleges,6
611310,"Colleges, Universities, and Professional Schools",6
611410,Business and Secretarial Schools,6
611420,Computer Training,6
611430,Professional and Management Development Training,6
611511,Cosmetology and Barber Schools,6
611512,Flight Training,6
611513,Apprenticeship Training,6
611519,Other Technical and Trade Schools,6
611610,Fine Arts Schools,6
611620,Sports and Recreation Instruction,6
611630,Language Schools,6
611691,Exam Preparation and Tutoring,6
611692,Automobile Driving Schools,6
611699,All Other Miscellaneous Schools and Instruction,6
611710,Educational Support Services,6
621111,Offices of Physicians (except Mental Health Specialists),6
621112,"Offices of Physicians, Mental Health Specialists",6
621210,Offices of Dentists,6
621310,Offices of Chiropractors,6
621320,Offices of Optometrists,6
621330,Offices of Mental Health Practitioners (except Physicians),6
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",6
621391,Offices of Podiatrists,6
621399,Offices of All Other Miscellaneous Health Practitioners,6
621410,Family Planning Centers,6
621420,Outpatient Mental Health and Substance Abuse Centers,6
621491,HMO Medical Centers,6
621492,Kidney Dialysis Centers,6
621493,Freestanding Ambulatory Surgical and Emergency Centers,6
621498,All Other Outpatient Care Centers,6
621511,Medical Laboratories,6
621512,Diagnostic Imaging Centers,6
621610,Home Health Care Services,6
621910,Ambulance Services,6
621991,Blood and Organ Banks,6
621999,All Other Miscellaneous Ambulatory Health Care Services,6
622110,General Medical and Surgical Hospitals,6
622210,Psychiatric and Substance Abuse Hospitals,6
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,6
623110,Nursing Care Facilities (Skilled Nursing Facilities),6
623210,Residential Intellectual and Developmental Disability Facilities,6
623220,Residential Mental Health and Substance Abuse Facilities,6
623311,Continuing Care Retirement Communities,6
623312,Assisted Living Facilities for the Elderly,6
623990,Other Residential Care Facilities,6
624110,Child and Youth Services,6
624120,Services for the Elderly and Persons with Disabilities,6
624190,Other Individual and Family Services,6
624210,Community Food Services,6
624221,Temporary Shelters,6
624229,Other Community Housing Services,6
624230,Emergency and Other Relief Services,6
624310,Vocational Rehabilitation Services,6
624410,Child Care Services,6
711110,Theater Companies and Dinner Theaters,6
711120,Dance Companies,6
711130,Musical Groups and Artists,6
711190,Other Performing Arts Companies,6
711211,Sports Teams and Clubs,6
711212,Racetracks,6
711219,Other Spectator Sports,6
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",6
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",6
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",6
711510,"Independent Artists, Writers, and Performers",6
712110,Museums,6
712120,Historical Sites,6
712130,Zoos and Botanical Gardens,6
712190,Nature Parks and Other Similar Institutions,6
713110,Amusement and Theme Parks,6
713120,Amusement Arcades,6
713210,Casinos (except Casino Hotels),6
713290,Other Gambling Industries,6
713910,Golf Courses and Country Clubs,6
713920,Skiing Facilities,6
713930,Marinas,6
713940,Fitness and Recreational Sports Centers,6
713950,Bowling Centers,6
713990,All Other Amusement and Recreation Industries,6
721110,Hotels (except Casino Hotels) and Motels,6
721120,Casino Hotels,6
721191,Bed-and-Breakfast Inns,6
721199,All Other Traveler Accommodation,6
721211,RV (Recreational Vehicle) Parks and Campgrounds,6
721214,Recreational and Vacation Camps (except Campgrounds),6
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",6
722310,Food Service Contractors,6
722320,Caterers,6
722330,Mobile Food Services,6
722410,Drinking Places (Alcoholic Beverages),6
722511,Full-Service Restaurants,6
722513,Limited-Service Restaurants,6
722514,"Cafeterias, Grill Buffets, and Buffets",6
722515,Snack and Nonalcoholic Beverage Bars,6
811111,General Automotive Repair,6
811114,Specialized Automotive Repair,6
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",6
811122,Automotive Glass Replacement Shops,6
811191,Automotive Oil Change and Lubrication Shops,6
811192,Car Washes,6
811198,All Other Automotive Repair and Maintenance,6
811210,Electronic and Precision Equipment Repair and Maintenance,6
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,6
811411,Home and Garden Equipment Repair and Maintenance,6
811412,Appliance Repair and Maintenance,6
811420,Reupholstery and Furniture Repair,6
811430,Footwear and Leather Goods Repair,6
811490,Other Personal and Household Goods Repair and Maintenance,6
812111,Barber Shops,6
812112,Beauty Salons,6
812113,Nail Salons,6
812191,Diet and Weight Reducing Centers,6
812199,Other Personal Care Services,6
812210,Funeral Homes and Funeral Services,6
812220,Cemeteries and Crematories,6
812310,Coin-Operated Laundries and Drycleaners,6
812320,Drycleaning and Laundry Services (except Coin-Operated),6
812331,Linen Supply,6
812332,Industrial Launderers,6
812910,Pet Care (except Veterinary) Services,6
812921,Photofinishing Laboratories (except One-Hour),6
812922,One-Hour Photofinishing,6
812930,Parking Lots and Garages,6
812990,All Other Personal Services,6
813110,Religious Organizations,6
813211,Grantmaking Foundations,6
813212,Voluntary Health Organizations,6
813219,Other Grantmaking and Giving Services,6
813311,Human Rights Organizations,6
813312,"Environment, Conservation and Wildlife Organizations",6
813319,Other Social Advocacy Organizations,6
813410,Civic and Social Organizations,6
813910,Business Associations,6
813920,Professional Organizations,6
813930,Labor Unions and Similar Labor Organizations,6
813940,Political Organizations,6
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",6
814110,Private Households,6
921110,Executive Offices,6
921120,Legislative Bodies,6
921130,Public Finance Activities,6
921140,"Executive and Legislative Offices, Combined",6
921150,American Indian and Alaska Native Tribal Governments,6
921190,Other General Government Support,6
922110,Courts,6
922120,Police Protection,6
922130,Legal Counsel and Prosecution,6
922140,Correctional Institutions,6
922150,Parole Offices and Probation Offices,6
922160,Fire Protection,6
922190,"Other Justice, Public Order, and Safety Activities",6
923110,Administration of Education Programs,6
923120,Administration of Public Health Programs,6
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",6
923140,Administration of Veterans' Affairs,6
924110,Administration of Air and Water Resource and Solid Waste Management Programs,6
924120,Administration of Conservation Programs,6
925110,Administration of Housing Programs,6
925120,Administration of Urban Planning and Community and Rural Development,6
926110,Administration of General Economic Programs,6
926120,Regulation and Administration of Transportation Programs,6
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",6
926140,Regulation of Agricultural Marketing and Commodities,6
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",6
927110,Space Research and Technology,6
928110,National Security,6
928120,International Affairs,6
